project_url,title,title_length,description,category,author,region,goal_rub,pledged_rub,funding_percentage,is_successful,campaign_duration_days,launch_date,end_date,participants_count,tiers_count,min_tier_price_rub,max_tier_price_rub,has_video,updates_count,comments_count,faq_count,created_projects,backed_projects,social_links_count,risks_text,risk_words_count,has_superlatives,error,source,catalog_category_filter
https://planeta.ru/campaigns/omelavinyl,ОМЕЛА: переиздание «ТАЙНОЙ ТРОПЫ» на виниле / CD + выпуск второго сольного альбома Абрея,88.0,Вы просили – мы откликнулись. Вы ждали – мы делаем. Вы хотели... да мы и сами давненько об этом подумывали! :),Музыка,Омела,Москва и Московская обл,550000.0,296000.0,53.0,0.0,58.0,2026-03-19,2026-05-16,90.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,4.0,344.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/nauchpopvvologde_2026,Открытые лекции в Вологде!,26.0,Уже более пяти лет команда энтузиастов приглашает в Вологду с лекциями учёных с мировым именем и известных популяризаторов науки. Все лекции бесплатны для аудитории.,Наука и просвещение,Studiozus,Вологодская обл,190000.0,128450.0,67.0,0.0,101.0,2026-01-14,2026-04-25,53.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,159.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/memoryisme,Память - это я?,15.0,"Фильм-встреча, в котором режиссер знакомится со своим отцом через мамины воспоминания, предметы и песни.",Кино и видео Поддержать проект,Влада Лодеск,,30000.0,18000.0,60.0,0.0,49.0,2026-03-25,2026-05-13,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/parky,"""ПАРКИ"": ВЕРНУТЬСЯ К ЖИЗНИ!",27.0,"Создание фильма о людях, противоставших своей болезни. Врачи и пациенты объединяются для сражения с общим врагом.",Кино и видео Поддержать проект,Дмитрий Малков,,250000.0,906168700.0,67.0,0.0,162.0,2025-11-04,2026-04-15,58.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,57.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/235953,Поможем кошечке Миле получить шанс на счастливую жизнь - 2,58.0,"Сбор на проведение стоматологической операции, покупку гипо.корма, сдачу всех необходимых анализов перед операцией",Благотворительность,Елена Коровина,Москва и Московская обл,45000.0,31950.0,71.0,0.0,,2025-09-26,,38.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,43.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/243284,Поможем преодолейцам выступить в Суздале!,41.0,"С вашей помощью участники реабилитационного танцевального проекта смогут привезти на Всероссийский конкурс 3 номера, один из них был создан для финала легендарной ""Синей птицы"".",Благотворительность Поддержать проект,Преодолей-ка,,237195.0,153200.0,64.0,0.0,62.0,2026-03-10,2026-05-11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,147.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/236020,Православные книги детям Донбасса,33.0,"Акция по сбору средств для закупки православных детских книг и передачи их детям и подросткам с инвалидностью общественной организации ""Сердце матери"" и 2-м интернатам Донбасса",Благотворительность,,Липецкая обл,0.0,0.0,0.0,0.0,215.0,2025-10-07,2026-05-10,121.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,,,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/chersky,"Проект для женщин Черского: Буду здоровой, мудрой, счастливой!",62.0,""" В человеке должно быть всё прекрасно: и лицо, и одежда, и душа, и мысли"". Об этом и о здоровье от акушера-гинеколога проект для женщин посёлка Черский, где я родилась.",Общественные инициативы,Светлана Игонина,Саха (Якутия),75000.0,37600.0,50.0,0.0,65.0,2026-02-06,2026-04-12,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/kladka,Ремонт кирпичной кладки в алтарях храма Святой Троицы в Язвищах,63.0,"Тринадцать лет пытаемся восстановить храм в Новгородской области (его здание является памятником архитектуры). Сделали много, но ещё больше не сделали... На очереди ремонт в алтаре",Общественные инициативы,Лавров Олег,Новгородская обл,500000.0,302200.0,60.0,0.0,572.0,2024-10-28,2026-05-23,489.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,23.0,501.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/233414,СОЗДАЕМ ДОМ КОРЕЙСКОЙ КУЛЬТУРЫ ВМЕСТЕ!,38.0,Корейская культура обрела постоянную петербургскую прописку в здании на Таллинской улице. 16 августа там официально открылся Корейский дом. Его обустраивают всем миром.,Общественные инициативы,,Санкт-Петербург и Ленинградская область,0.0,0.0,0.0,0.0,266.0,2025-08-05,2026-04-28,43.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/241228,Спасите „Удэгейскую легенду“ — сердце Уссурийской тайги!,56.0,"Кедрово‑широколиственные леса Уссурийской тайги исчезают. Но ещё можно сохранить последние нетронутые участки ради амурского тигра, гималайского медведя и рыбного филина.",Благотворительность,Удэгейская легенда,Приморский край,1000000.0,562420.0,56.0,0.0,98.0,2026-01-30,2026-05-08,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/teplo_dlya_alenkogo,"Тепло для детей и взрослых с аутизмом в ""Аленьком цветочке""",59.0,Оплата отопления в помещении центра где проходят занятия в мастерских с детьми и взрослыми с тяжелыми формами аутизма и ментальными нарушениями,Благотворительность,ekaterina-adaeva,Башкортостан(Башкирия),56000.0,48000.0,85.0,0.0,36.0,2026-03-30,2026-05-05,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/239084,"""Фабрика фантазии: открываем двери детской швейной мастерской""",62.0,"Современная швейная мастерская, где дети освоят моделирование и дизайн. Новые швейные машины и паровая станция дадут ребятам ценные навыки и творческий импульс. Присоединяйтесь!",Обучение,,Красноярский край,0.0,0.0,0.0,0.0,99.0,2026-02-17,2026-05-27,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/obodok,"Фильм ""ПОД ОБОДКОМ"", комедия абсурда",36.0,"Короткометражный фильм о вере в себя и в свой путь. Эта комедия может научить зрителя следовать мечтам, не предавая свои жизненные принципы.",Кино и видео,Waystar Production,Москва и Московская обл,100000.0,76188.0,76.0,0.0,206.0,2025-10-17,2026-05-11,29.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,29.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/stendi_kht,Эколого-краеведческие стенды в городе Хотьково,46.0,"Проект по установке эколого-краеведческих стендов ""Река Воря"", ""Верблюжья горка"" является частью мероприятий проекта ""Береги и цени, Человек, свою землю и свою историю"".",Общественные инициативы,Исаева Яна Владимировна,Москва и Московская обл,50390.0,27550.0,54.0,0.0,61.0,2026-03-17,2026-05-17,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,,0.0,1.0,,selenium,Все категории
